What could cause WebAudit or Viewer USB scans to fail?,1. USB printer SNMP response not captured. 2. Incorrect USB polling intervals. 3. Permissions issues on the Viewer host.
How can I confirm database permissions needed for Printanista Hub?,1. SQL login must have db_owner or sufficient SELECT/UPDATE/INSERT on Hub DB. 2. Hub services use connection strings stored in appsettings.json or IIS config.
What settings should I validate if RDL isn't connecting to a device?,1. Confirm remote SNMP is enabled. 2. Ensure HTTPS access from Hub server to printer. 3. Confirm no client firewalls block WebAudit port.
What steps help diagnose excessive DCA CPU usage?,1. Check scan frequency settings. 2. Monitor device scan logs for stuck SNMP loops. 3. Reduce scan concurrency. 4. Review Windows Task Manager during peak scan periods.
What are signs that Printanista Hub lost SQL connectivity?,1. Login page shows 'Database connection failed'. 2. IIS logs reveal SQL connection timeout. 3. No device updates despite healthy DCA connections.
How should I tune scan profiles for remote or satellite offices?,1. Increase SNMP timeout. 2. Reduce scan frequency. 3. Narrow IP ranges tightly. 4. Consider deploying a localized DCA onsite.
How can I identify SSL inspection affecting DCA traffic?,1. Curl or browser access to reg.pf-d.ca shows invalid certificates. 2. DCA logs SSL/TLS handshake failures. 3. Bypass SSL inspection for specific URLs.
Where do I manually trigger DCA device rediscovery?,Local DCA web interface > Devices tab > Force Rescan or restart the DCA service.
What should I review if device supply alerts never trigger?,1. Confirm alert thresholds are enabled. 2. Ensure supply monitoring is active in scan profiles. 3. Validate SNMP MIB data is available during scans.
What causes devices to flip between Online/Offline in Printanista?,1. Short SNMP timeouts. 2. Network latency causing intermittent scan failures. 3. Printer sleep modes impacting response.
What best practices ensure clean DCA upgrades?,1. Backup config and logs. 2. Review release notes for breaking changes. 3. Validate Edge ID after update. 4. Test scans immediately after upgrade.
What does a repeated 'Ping Timeout' during SNMP scans indicate?,1. Printer unreachable on network. 2. ICMP blocked. 3. Device asleep. 4. SNMP disabled or misconfigured.
What does the error 'RegistrationServer unreachable' mean for DCA?,The DCA cannot reach reg.pf-d.ca for license and Edge ID validation — check internet access and firewall rules.
How do I confirm all Windows services needed by Printanista are running?,"IIS, SQL Server, and Central/Hub Application Pools must all be active without stopped states."
How can I check if DNS misrouting is causing DCA failures?,1. Ping reg.pf-d.ca and meters.mydoceo.com. 2. Compare expected IPs. 3. Use nslookup from server.
What should I do if a scheduled Printanista report isn’t delivered?,1. Check SMTP server settings. 2. Validate report scheduling times. 3. Review SMTP logs for bounce or send errors.
How do I identify if a firewall is performing deep packet inspection on SNMP traffic?,1. Use Wireshark to capture SNMP requests/responses. 2. Look for missing or malformed SNMP responses. 3. Disable DPI temporarily to confirm behavior change.
What steps should be taken if all SNMP scans fail after a network change?,1. Verify IP ranges and VLAN routes. 2. Confirm SNMP community strings didn’t change. 3. Validate firewall ACLs allow UDP 161. 4. Perform manual SNMP walk tests.
What can cause a DCA to crash unexpectedly?,1. Corrupted config file. 2. Insufficient system RAM. 3. Third-party antivirus tampering with processes. 4. Uncaught SNMP exception from misbehaving devices.
What causes meter values to reset or disappear?,1. Device firmware resets meters improperly. 2. SNMP values unavailable at scan time. 3. Wrong device OID mapping in scan profile.
How do I validate DNS servers are accessible for DCA registration?,1. Check DCA logs for DNS server listings. 2. Ping each listed server. 3. Validate outbound port 53 access if needed.
What triggers a forced fallback to Long Polling in DCA?,1. WebSocket upgrade fails (HTTP 400/403). 2. SSL negotiation fails. 3. Firewall or proxy blocks WebSocket frames.
What should I monitor post-upgrade to confirm Printanista health?,1. SQL Server uptime. 2. IIS site response time. 3. License validity. 4. Recent device data flow in Admin > DCA Management.
What does a blank Public Key field in Hub Admin mean?,1. License service not initialized. 2. SQL connection failure. 3. Corrupted licensing table in database.
Where does the DCA store cached scan results before upload?,In RAM during active scan sessions; not persisted unless logs are enabled.
What behavior indicates device attributes are mismapped?,1. Printer model appears as 'unknown' or wrong brand. 2. Supplies not mapped correctly. 3. Manual SNMP walk reveals missing expected OIDs.
What are common causes of supply alerts not triggering?,1. Incorrect threshold configuration. 2. Device not reporting supplies via SNMP. 3. SNMP response timing out before capture.
How do I capture full HTTP traffic between DCA and Hub for analysis?,"Use Fiddler, Wireshark, or tcpdump to capture port 443 traffic during registration and sync events."
What steps should I take before manually editing dca.config?,1. Backup original config. 2. Validate JSON syntax after edits. 3. Restart DCA service cleanly.
What does the DCA setting 'SnmpMaxConcurrent' control?,The maximum number of simultaneous SNMP requests allowed at a time during scans.
How do I fix a mismatch between Printanista Hub and Central sync states?,1. Resync manually via Admin > Syncs > Force Sync. 2. Restart Hub services. 3. Validate SQL database is intact and current.
What should I do if HTTPS certificate for Hub expired?,1. Renew or reissue SSL certificate. 2. Bind new certificate in IIS Manager. 3. Restart IIS and validate HTTPS connections.
What causes a DCA to repeatedly lose connection every 45 seconds?,1. Idle timeout on firewall session. 2. DNS resolution failures mid-session. 3. SSL session expiration due to proxy inspection.
What firewall rule must always be allowed for DCA operation?,Outbound TCP 443 to *.mydoceo.com and *.printfleetcdn.com.
What is the risk if DCA auto-update fails repeatedly?,"DCA will eventually become version-locked, miss security patches, and compatibility issues will occur with Hub updates."
How should SNMP retries and timeouts be tuned for satellite offices?,"Increase timeout (e.g., 15000 ms) and reduce retries (1–2 max) to avoid network congestion."
What should I capture when troubleshooting a stuck DCA 'Checking for Updates' status?,1. dca.log full export. 2. Windows Event Viewer application logs. 3. Screenshot of DCA local UI status page.
How can I confirm HTTPS fallback behavior manually?,1. Use browser DevTools (Network tab). 2. Connect to Hub and observe if WebSocket upgrades succeed or fallback occurs.
What can cause Printanista WebAudit sessions to timeout mid-scan?,1. Firewall idle session timeout. 2. Printer dropping SNMP responses. 3. Poor local network conditions between WebAudit agent and printer.
What SQL server setting is critical for Printanista Hub?,SQL Server must have TCP/IP protocol enabled and set to dynamic or static port that matches Hub configuration.
What is the maximum recommended scan concurrency for a server with 4GB RAM?,Limit to 50–60 concurrent SNMP sessions to avoid memory exhaustion.
How can I distinguish device authentication issues vs SNMP scanning failures?,"Authentication issues log 'auth failure' or 'invalid community', while general SNMP failures show 'timeout' or 'NoSuchName' errors."
Where can I find the ECI fallback DNS server IP addresses?,Embedded in DCA logs; fallback IPs often start with 18.221.x.x or 18.194.x.x (AWS public IP ranges).
What could cause immediate failure of licensing sync post-upgrade?,1. Hub lost SQL connection. 2. Old licensing table schema incompatible. 3. IIS app settings pointing to wrong environment.
What tools can help simulate SNMP traffic during troubleshooting?,"Paessler SNMP Tester, Net-SNMP walk tools, or built-in DCA local SNMP test tools."
What should I validate if supply yield percentages seem incorrect?,1. Confirm printer firmware is current. 2. Walk supplies MIB manually. 3. Review device model OIDs for printer-specific quirks.
What ports must be open for WebAudit remote link features?,"HTTPS (TCP 443) outbound must be open between Hub, Viewer USB agents, and devices."
What is the recommended action if duplicate devices persist despite proper SNMP?,Contact ECI support to perform database-level deduplication if manual cleanup fails.
How can I ensure DCA updates without needing full admin rights?,1. Pre-schedule update checks under service account context. 2. Validate NT AUTHORITY\SYSTEM has internet access permissions.
What happens if print spooler service crashes on a Hub server?,"Remote Device Link (RDL) and some direct device jobs will fail, but Hub’s core device sync and licensing will continue operating."
Why might TLS negotiation errors spike during SNMP scanning?,TLS errors only affect HTTPS operations; SNMP over UDP is not secured by TLS. Likely a concurrent network issue affecting multiple protocols.
How do I distinguish critical vs non-critical DCA log warnings?,"Critical errors interrupt registration, scanning, or uploads; non-critical warnings often relate to single device anomalies."
What causes WebSocket closure codes like 1006 in DCA logs?,"Unexpected connection closure usually caused by proxy resets, deep packet inspection drops, or firewall session timeouts."
What does 'device orphaned' mean in Printanista reporting?,"A device was previously matched but no active DCA reports it anymore, often due to DCA removal without reassignment."
What causes SNMP v2c fallbacks to v1 unexpectedly?,"Device fails v2c handshake (wrong community, version mismatch), triggering automatic fallback in scan logic."
What is the impact of missing Printer MIB support on discovered devices?,"Printanista may capture IP and hostname, but not meters, supply levels, or model/serial info."
What tools help analyze HTTPS handshake failures from DCA?,"Wireshark (filter SSL/TLS records), curl with verbose output, or ECI internal Hub debug tools."
What does the error 'No route to host' indicate during SNMP scan?,"The target device is unreachable at IP level — likely network routing, firewall, or VPN misconfiguration."
What should I check if all SNMP scans return identical model names?,1. Printer SNMP implementation may default to generic responses. 2. Verify OID mappings. 3. Perform an SNMP walk to validate responses for sysDescr and prtGeneralPrinterName.
How do I troubleshoot a DCA that won't auto-update?,1. Check DCA logs for AutoUpdate failures. 2. Confirm access to https://updates.printfleetcdn.com. 3. Verify system clock and Windows Update service are healthy. 4. Manually install the latest DCA if necessary.
Why are supply thresholds not applying to new discovered devices?,1. Check if new devices are assigned to groups with inherited thresholds. 2. Review supply profile settings in Hub. 3. Confirm SNMP supplies are available during device discovery.
What can cause a Hub migration to fail during backup restoration?,1. Incorrect SQL database version. 2. Incomplete backup set. 3. Missing IIS application bindings. 4. Old web.config or appsettings.json referencing incorrect DB names.
How do I resolve frequent 'Ping Timeout' errors on devices known to be online?,1. Confirm ICMP is allowed on devices. 2. Validate VLAN routing and firewall ACLs. 3. Monitor SNMP vs Ping behavior separately.
What triggers a Printanista DCA to re-register automatically?,1. Major network interface change. 2. Server hostname changes. 3. Manual deletion of Edge ID from DCA config.
What should I collect for a Central server performance issue investigation?,1. IIS logs. 2. SQL Server slow query logs. 3. Central application logs. 4. Windows Event Viewer errors.
What common mistakes cause API sync failures with eAuto?,1. Expired or missing Web Service Token. 2. Incorrect Printanista URL endpoint. 3. Incorrect eAuto server-side firewall rules.
What could cause Printanista to show a device in 'Pending Removal' indefinitely?,1. Device still reporting in from stale DCA. 2. Hub hasn't completed cleanup cycle. 3. Database deadlock preventing update.
How do I confirm ECI Update Servers are accessible from a customer environment?,1. Ping updates.printfleetcdn.com. 2. Perform HTTPS curl request. 3. Review firewall outbound rules for TCP 443.
What is a sign that proxy authentication is interfering with DCA communications?,1. DCA logs show 407 Proxy Authentication Required. 2. Hub connection shows frequent disconnects. 3. SNMP scans complete but uploads fail.
How do I collect full HTTP request/response pairs from a DCA?,1. Enable debug mode. 2. Use a local Fiddler proxy or Wireshark. 3. Capture during a registration or sync event.
What would cause a DCA Edge ID collision?,1. Cloned VM without sysprep. 2. Manual copy of DCA config between machines. 3. Misconfigured deployments across multiple customer tenants.
Why might SSL handshakes succeed but WebSocket upgrades fail?,1. Intermediate firewall alters header frames. 2. Proxy strips WebSocket upgrade requests. 3. IIS misconfiguration at server level.
What could cause missing meter reads specifically for color counts?,1. Device firmware does not expose color page counters separately. 2. Incorrect SNMP OIDs assigned to scan profile. 3. Printer reports all pages under monochrome.
What should I review if devices discovered by IP never get full model/serial info?,"1. Printer SNMP settings. 2. MIB support for sysDescr, sysObjectID. 3. Enable extended discovery in DCA scan profile."
What can cause constant offline/online flipping for stable printers?,1. Printer sleep modes impacting ICMP responses. 2. Low SNMP timeout thresholds. 3. Network congestion or intermittent routing failures.
What is a safe sequence for upgrading DCA versions on high-traffic sites?,1. Pause scanning. 2. Backup logs/config. 3. Install latest version. 4. Validate Edge ID continuity. 5. Resume scanning.
What indicates a mismatch between Central and Printanista scan definitions?,1. Devices discovered in Central show missing attributes in Hub. 2. SNMP scans complete but supplies missing. 3. Version mismatch in scan profile schema.
How should I monitor scheduled reports for failure trends?,1. Export scheduling logs if available. 2. Track delivery failure rates. 3. Alert if >5% of scheduled reports fail consecutively.
What could cause a blank licensing screen after a Printanista upgrade?,1. IIS binding misconfiguration. 2. SQL database not fully upgraded. 3. Web.config pointing to old licensing table.
How do I reset a stuck DCA that fails to clear outdated scan ranges?,1. Backup config. 2. Wipe dca.config file and re-register. 3. Rebuild scan profiles manually.
What happens if I delete an Edge ID directly in the Hub portal?,1. Devices reported by that DCA will orphan until another DCA matches them. 2. Historical scan logs remain but future scans stop.
What is the fallback method if licensing sync with GTTechOnline is unavailable?,Manually email support@ecisolutions.com with the Hub Public Key and request a license generation.
How do I recognize TLS downgrade attacks affecting Printanista?,1. Unexpected SSL protocol version changes in Wireshark. 2. Handshake failures. 3. Browser security alerts.
What causes supply level fluctuations without actual usage?,1. Printer reporting artifacts. 2. SNMP supply OIDs inaccurately mapped. 3. Printer firmware rounding errors.
What steps confirm a successful Printanista migration to a new server?,1. IIS bindings correct. 2. SQL database online. 3. New licensing string pasted. 4. DCA syncs confirmed healthy.
Why might some DCAs stop reporting after a Printanista major version upgrade?,1. DCA version incompatible with Hub. 2. Registration token expired. 3. Transport protocols mismatched (WebSocket/Long Polling fallback failure).
What can cause duplicate WebSocket connections from a DCA?,1. Service restarted without clean disconnect. 2. Failover network causing session duplication. 3. Hub retry policies stacking idle sessions.
What security settings should be confirmed post-Hub deployment?,1. HTTPS enforced. 2. SQL password complexity. 3. Minimum TLS 1.2 enabled. 4. SMTP authentication secured if used.
What might cause 'device orphaned' reports to spike after DCA decommissions?,1. No immediate replacement DCA registered. 2. Orphan timeout window extended in Admin settings. 3. Devices lost in incorrect customer tenancy.
What does 'ProcessedValueChanged' spam in logs typically mean?,High frequency meter or supply updates are being reported; often normal unless excessive and impacting performance.
What are signs of database connection pooling issues in Central?,1. Long login delays. 2. SQL deadlock errors. 3. Connection timeout errors in IIS.
What should I validate if printer firmware updates break SNMP scans?,1. Confirm MIB OID structure changes. 2. Validate new SNMP walk outputs. 3. Update scan profiles if needed.
What triggers an Edge ID to reset unexpectedly?,1. Reinstallation of DCA without retaining config. 2. Changing Windows machine SID. 3. Hard wiping registration keys manually.
What fallback behavior occurs if registration fails mid-scan?,Device scan results are cached temporarily and retried after next successful Hub connection.
What should I collect if supply alerts suddenly fail across all devices?,1. Latest Hub version. 2. Alert engine logs. 3. Full DCA logs. 4. SMTP test confirmations.
How can I ensure third-party security compliance for Printanista deployments?,1. TLS 1.2 only communication. 2. HTTPS enforced for all endpoints. 3. Periodic credential rotation if applicable.
What are signs that an SNMP scanning storm is overloading the network?,1. Network latency spikes during scheduled scans. 2. Printers dropping SNMP responses randomly. 3. Firewalls logging UDP flood warnings.
What causes SNMP fallback retries to increase abnormally?,1. Devices in power-save modes. 2. Excessive retries configured. 3. Device firmware misbehaving under SNMP load.
What distinguishes a scan timeout vs scan error in DCA logs?,Timeouts mean no device response in window; errors mean device responded but with invalid or unexpected data.
What is the normal cause for Hub Admin login issues after SQL server change?,Connection strings still pointing to old SQL hostname/IP.
What should I validate if a device shows MAC address as 00:00:00:00:00:00?,"1. Printer SNMP agent may not expose MAC addresses properly. 2. Device is behind a proxy, NAT, or firewall that masks MACs. 3. Use ARP cache on local DCA host to verify mapping if needed."
What causes HTTP 502 or 504 errors when accessing Printanista Hub?,1. IIS Application Pool crash. 2. SQL database offline or slow. 3. Incorrect bindings after server migration.
What triggers a DCA to stop scanning devices even though it remains connected?,1. Scan schedules disabled or corrupted. 2. Insufficient available system RAM. 3. Internal SNMP thread crash without full service restart.
What can cause device supply status to show 'Unknown' suddenly?,1. SNMP supplies MIB walk failed. 2. Printer firmware update altered OID structure. 3. SNMPv3 mismatch if device was reconfigured.
How do I confirm if a DCA is stuck in a retry loop?,1. Look for repeated log lines such as 'Retrying in 15s' or 'Reattempting Hub connection'. 2. Service uptime exceeding normal cycles without successful resync.
"What causes device attribute corruption (model, serial mismatch)?",1. IP address re-use among different printers. 2. Missing MAC address validation. 3. DCA scanning outdated ARP cache or stale DNS records.
What is the cleanest method to reassign a DCA to a different customer tenant?,1. Deactivate Edge ID under old customer. 2. Wipe and reinstall DCA with new customer registration string. 3. Validate new registration sync.
What causes FMAudit Central jobs to stall in Pending state?,"1. Central service background thread crash. 2. SQL Server deadlock. 3. Invalid job scheduling parameters (bad ranges, bad filters)."
What firewall issues cause WebAudit sessions to break mid-discovery?,1. Stateful inspection timeouts. 2. DPI (Deep Packet Inspection) altering SSL traffic. 3. SSL/TLS certificate pinning blocks session mid-stream.
How do I safely tune down SNMP concurrency in a large customer deployment?,"1. Edit dca.config 'SnmpMaxConcurrent' to a lower value (e.g., 50). 2. Restart DCA service. 3. Monitor CPU and RAM usage post-change."
What causes SNMP scan intervals to spike unpredictably?,1. Printer firmware bugs causing intermittent SNMP failures. 2. Network congestion. 3. Windows system resource contention at DCA host level.
What should I do if a Printanista site fails GDPR audit?,1. Validate SSL enforcement. 2. Confirm device-level anonymization settings. 3. Rotate or regenerate access tokens for APIs.
What error messages indicate Printanista lost database access after upgrade?,1. 'Unable to connect to DB'. 2. 'Database unavailable' in IIS logs. 3. SQL connection refused at network layer.
What can cause RDL direct print jobs to fail silently?,1. Print spooler crash. 2. Missing user authentication at printer side. 3. Invalid certificate trust chain blocking job submit.
What triggers Central to enter license enforcement mode unexpectedly?,1. Licensing service handshake failure. 2. Expired Viewer licenses. 3. Mismatch in customer ID between database and license key.
What do recurring 'Authorization error' logs typically indicate?,1. Incorrect authentication token. 2. API endpoint changes unhandled. 3. Stale session cookies during service handoff.
What could cause a printer to appear 'online' but fail all SNMP queries?,1. Firewall blocks UDP 161 responses. 2. Printer SNMP service disabled separately from TCP/IP stack. 3. Firmware crash at management agent level.
How can I validate Windows Server firewall isn't silently blocking DCA operations?,1. Disable Windows Firewall temporarily for test. 2. Create inbound/outbound rules explicitly for DCA executable and service ports.
Where does Hub store temporary logs for API errors?,Logs usually stored under C:\\inetpub\\wwwroot\\Printanista\\Logs (or corresponding custom IIS paths if reconfigured).
How do I recognize when SQL Server resource starvation is affecting Hub performance?,1. Long query execution times. 2. Session blocking or locking warnings. 3. Deadlocks appearing in SQL trace logs.
What would cause Printanista report PDFs to generate corrupt or blank files?,1. IIS application pool recycling mid-export. 2. SQL query timeout during report generation. 3. Missing report template dependency files.
What causes licensing status to 'flip' from Licensed to Not Licensed during upgrades?,1. Web.config licensing module mismatch. 2. App pool identity lacks permission to load licensing table. 3. SQL schema upgrade failures.
What can cause slow device removal even after a DCA is decommissioned?,1. Orphaning protection period set too long (default 30–90 days). 2. Hub cleanup tasks not scheduled properly. 3. SQL maintenance jobs disabled.
What are indicators that Active Directory authentication is interfering with Hub?,1. Inconsistent login failures. 2. 401 Unauthorized errors on certain users. 3. Kerberos delegation or SPN configuration issues.
What causes SMTP relay errors even if basic connectivity exists?,1. Mail server requires SMTP AUTH (username/password). 2. TLS mandatory but not negotiated. 3. Firewall IDS blocking EHLO sequence.
What can cause WebAudit to succeed but show 'zero devices found'?,1. Wrong discovery OID range specified. 2. Printer SNMP agent sleep state. 3. SSL session timeout before scan completion.
What causes DCA HTTPS requests to hang indefinitely?,1. TLS renegotiation failures mid-session. 2. SSL inspection proxies pausing data transfer. 3. Server-side idle timeouts exceeding client expectation.
What would cause duplicate license alerts post Printanista migration?,1. Old Hub instance accidentally brought online. 2. Duplicate public key reuse during activation. 3. SQL replication lag between nodes.
How do I confirm DCA clock drift isn't impacting SSL connections?,1. Compare server NTP sync status. 2. Look for SSL handshake error timestamps mismatched by >5 minutes. 3. Use w32tm command-line tool.
What triggers DNS failures to appear in DCA logs even if other traffic works?,1. Primary DNS server partially down. 2. DNS cache corruption on host server. 3. DNS port 53 UDP blocked intermittently by edge firewalls.
What can cause massive HTTP 400/403 errors during DCA syncs?,1. Proxy stripping HTTP headers. 2. Load balancers misconfigured with incorrect upstream settings. 3. SSL inspection inserting invalid certificates.
What are signs that SQL tempdb issues are throttling Printanista performance?,1. Excessive autogrowth events logged. 2. Long-running queries involving temp tables. 3. Report generation stalls.
What causes IIS worker process crashes impacting Printanista portal?,1. Unhandled exceptions in .NET application. 2. Memory limit exceeded. 3. Failed module initialization during IIS startup.
What are signs that printer firmware regression broke SNMP discovery?,1. Models returning as 'unknown' post-upgrade. 2. Supply MIBs returning invalid or empty fields. 3. Monochrome page counts misreporting after firmware flash.
What should I do if Printanista supply reporting seems 24–48 hours stale?,1. Confirm DCA scan schedule. 2. Review Hub sync intervals. 3. Manually force a DCA rescan and watch for supply updates.
What indicates an improperly matched printer in device lists?,1. Correct IP but wrong model/serial data. 2. MAC address mismatch. 3. Supply levels absent despite device online status.
What might cause huge spikes in SNMP retries per scan cycle?,1. Devices entering sleep or eco-mode unpredictably. 2. VPN packet loss. 3. Temporary SNMP community string changes.
What are key signs that RDL is operating over a congested link?,1. WebAudit sessions timeout prematurely. 2. PDF job renders incomplete or corrupt. 3. SNMP walks show partial device trees.
What are signs of TLS session renegotiation issues from DCA to Hub?,1. Connection resets after 1–2 minutes. 2. DCA retries connection despite initial handshake success. 3. Hub logs show mid-session SSL failures.
What critical settings must be validated post-DCA mass deployment?,1. Correct scan ranges per DCA. 2. Licensing status confirmed per Edge ID. 3. Health check heartbeat interval logs clean.
What indicates supply prediction algorithms malfunctioning post-upgrade?,1. Projected supply depletion dates disappear. 2. Supply graphs show no movement. 3. SNMP OIDs return cached not live values.
What causes DCA service to auto-stop without crashing?,1. Windows Service Recovery Policy set incorrectly. 2. System resource exhaustion triggers service halt. 3. Unhandled retry flood conditions.
What symptoms show that proxy SSL inspection breaks WebSocket sessions?,"1. Initial HTTPS connects, but WebSocket upgrade fails. 2. Logs show Error 1006 WebSocket close codes. 3. Session drops exactly after TLS handshake renegotiation."
What causes DCA to repeatedly fallback from WebSocket to Long Polling?,1. Firewall strips WebSocket headers. 2. Intermediate proxy modifies SSL handshake. 3. Load balancer terminates WebSocket prematurely.
How do I confirm whether a DCA is using Long Polling or WebSocket?,1. Open dca.log and search for 'Connected using WebSocket' or 'Fallback to Long Polling'. 2. Look at initial Hub handshake entries.
What should I check if SNMP supply levels show '0%' across multiple printers?,1. Device firmware may have corrupted supply MIBs. 2. SNMP read timeout occurs before response received. 3. Incorrect scan profile mappings post firmware upgrade.
How do I identify print jobs stuck in RDL queues?,1. Review Hub RDL job queues under Admin > Remote Device Link. 2. Cross-reference failed job IDs with IIS logs. 3. Inspect Windows Print Spooler service logs if applicable.
What triggers multiple identical devices showing up in Hub after migration?,1. DCA reinstalled without retaining previous Edge ID. 2. Duplicate scan ranges configured accidentally. 3. Old Edge ID not deactivated.
How do I know if SNMP timeout thresholds are too aggressive?,1. Repeated 'SNMP Timeout' entries for otherwise reachable printers. 2. Devices intermittently online/offline. 3. Large delta between ICMP ping success and SNMP success.
What are early warning signs of SQL Server stress impacting Central?,1. IIS login failures. 2. Report generation hangs. 3. Deadlocks detected in SQL Profiler.
What can cause SSL certificate errors even if the cert is valid?,1. Intermediate certificates missing. 2. Incorrect server hostname in SSL cert CN field. 3. Client-side SSL libraries outdated or mismatched.
What do recurring 'TLS handshake renegotiation error' entries indicate?,1. Proxy server altering SSL packets mid-session. 2. Firewall session timeouts not tuned for persistent HTTPS sessions. 3. Client clock drift vs server time.
What must be validated when migrating Printanista Hub to a new SQL Server?,1. New SQL server hostname updated in web.config and/or appsettings.json. 2. SQL user permissions replicated correctly. 3. Linked servers (if used) reconfigured.
What can cause DCA heartbeat intervals to drift inconsistently?,1. SNMP scan concurrency spikes delaying heartbeat send. 2. Hub connectivity interruptions. 3. Windows Service Manager delays due to system resource constraints.
What indicates bad firmware post-upgrade for supported printers?,1. Missing serial numbers on discovery. 2. 'Unknown device model' populating even after successful scan. 3. Supplies walk fails at initial MIB branch.
What causes devices to fail supply prediction modeling after appearing healthy?,"1. Supply OID responses missing critical date fields. 2. Intermittent MIB corruption during SNMP walks. 3. Supplies levels reported only at boot, not dynamically."
What should I collect for escalation if devices are mismatched by Printanista?,1. Full dca.log with SNMP debug enabled. 2. Manual SNMP walk output of impacted device. 3. Screenshots from device Web UI showing model/serial.
What are signs that IIS worker thread starvation is happening?,1. Slow site load times. 2. High CPU usage with low active connection count. 3. Frequent 503 errors without visible crashes.
What causes SNMP community strings to 'forget' across different ranges?,1. Scan profile configuration mismatch. 2. DCA upgrade overwriting custom settings. 3. Config JSON file corruption.
How do I manually verify an OID is correct for a problematic printer?,1. Use SNMP walk tool directly to device. 2. Locate MIB subtree for targeted metric. 3. Validate expected vs returned value matches Printanista expectations.
What triggers high device orphan rates post-migration to new DCAs?,1. Old DCA not deactivated cleanly. 2. Scan ranges overlapped incorrectly. 3. Licensing sync delay causing interim orphan flags.
What are causes of database deadlocks during heavy report generation?,1. Poor query index optimization. 2. Insufficient SQL tempdb sizing. 3. Report export pulling massive device datasets simultaneously.
How can I determine if a supply alert is truly actionable?,1. Review historic supply depletion trends. 2. Confirm no random supply spikes in last 24h. 3. Validate against device supply % thresholds configured.
What security risks arise if HTTPS is not enforced on Printanista Hub?,1. Data in transit could be intercepted. 2. Admin credentials could be stolen. 3. License activation traffic could be hijacked.
What is a strong first test for verifying SSL cert installation on a Hub server?,1. Access https://<hubURL> and confirm valid lock icon. 2. Run SSL Labs server test. 3. Confirm certificate chain is complete without weak ciphers.
What should be my first check if a DCA won't auto-update after months of successful updates?,1. Verify auto-update channel settings in dca.config. 2. Confirm update server URLs are reachable (updates.printfleetcdn.com). 3. Review disk space availability on the DCA host.
What early warning signs show Hub SQL database corruption?,1. Failed login attempts despite correct credentials. 2. Sudden device count drops or spikes. 3. Report exports fail with SQL exceptions.
What can cause SNMPv2c queries to fallback to SNMPv1 even if device supports v2c?,1. Device SNMP agent misconfigured. 2. Firewall rewriting SNMP packets improperly. 3. Outdated DCA scan profile forcing fallback.
What indicates DCA license validation was skipped on startup?,1. No 'License validation successful' entry within first 100 lines of log. 2. Hub shows 'Not Licensed' for that Edge ID. 3. Device data uploads throttled.
What can cause meter reads to lag even if device discovery is fast?,1. Meter OIDs are scanned separately at longer intervals. 2. Printer firmware delays SNMP responses. 3. Scan concurrency settings prioritize discovery over meter pulls.
What can cause SNMP scan results to suddenly show incorrect serial numbers?,1. Device firmware was upgraded and altered SNMP response structure. 2. Incorrect fallback OID mappings used. 3. Device SNMP service corrupted mid-session.
What are signs a DCA auto-update partially failed?,1. DCA service starts but logs show mismatched version identifiers. 2. Update attempts repeat indefinitely in logs. 3. Manual access to the web UI shows outdated version info.
What causes supply percentage graphs to flatline for multiple devices?,1. Supplies OIDs no longer returning live values. 2. SNMP walk shows static cached data from device. 3. Scan profile missing new supply definitions post-firmware upgrade.
What should I do if a Printanista scheduled report exports only partial data?,1. Check report filters and device selection rules. 2. Validate no SQL timeout errors during report generation. 3. Ensure IIS app pool timeout settings are tuned appropriately.
What indicates proxy server SSL inspection is tampering with DCA sync?,1. TLS handshake succeeds but WebSocket fails immediately. 2. Curl output shows invalid intermediate certificates. 3. Hub logs show repeated mid-session disconnects.
What signs show SQL Server tempdb issues are throttling Printanista?,1. Report queries stall indefinitely. 2. Hub device search runs extremely slow. 3. SQL tempdb autogrowth events logged repeatedly.
What causes sudden spikes in device discovery times for DCAs?,1. Unexpected subnet expansion. 2. Scan concurrency overloaded due to default settings. 3. Printer SNMP slowdowns or eco mode.
What causes SMTP alerts from Hub to queue but never send?,1. SMTP server authentication failure. 2. Email server requires TLS but Hub is configured for plaintext. 3. SMTP relay restricted by firewall policies.
What should I check if Central license enforcement triggers unexpectedly?,1. Review Central XML and licensing table entries. 2. Confirm latest license was pasted correctly. 3. Inspect service startup order (Central before WebAudit).
What can cause a DCA upgrade to corrupt Edge ID tracking?,1. Improper uninstall of prior version without config retention. 2. Windows SID duplication between virtual hosts. 3. Manual registry edits during upgrade.
What are signs that WebAudit discovery scan settings are misconfigured?,1. Only partial IP ranges are scanned. 2. Device types like MFPs or plotters missing from reports. 3. SNMP walk results differ heavily between WebAudit and DCA.
What causes frequent SQL 'deadlock victim' errors in Printanista reporting?,1. Heavy concurrent report generation. 2. Poor index usage on device tables. 3. Inadequate SQL tempdb size or improper isolation levels.
What triggers devices to appear as 'ghost devices' in Printanista?,1. Device IP changed without MAC or serial match to prior record. 2. Scan profiles mismatched community strings. 3. DCA scan scheduling conflicts across multiple DCAs.
What can cause DCA transport logs to grow excessively large?,1. Debug mode enabled permanently. 2. Persistent retries due to intermittent network failures. 3. AutoUpdate module logging failed attempts every few minutes.
